시리얼,주소,위도,경도
V02Q1940577,서울측별시 용산구 서빙고동 1-3,37.523642878,126.993653966
V02Q1940524,서울특별시 용산구 청파로93길 16,37.554374634,126.968131192
V02Q1940731,서울특별시 용산구 이촌로 347-11,37.517989157,126.985318268
V02Q1940559,서울특별시 용산구 이태원로14길 36,37.532936634,126.991219946
V02Q1940668,서울측별시 용산구 이촌동 414,37.5190397,126.980569679
V02Q1940630,서울특별시 용산구 서빙고로 4-16,37.525540411,126.965070815
V02Q1940664,서울특별시 용산구 이촌로87길 21,37.520370616,126.977056762
V02Q1940578,서울특별시 용산구 서빙고로95길 7,37.526352633,127.002884625
V02Q1940856,서울특별시 용산구 이태원로 224-19,37.5349991,127.000273647
V02Q1940830,서울측별시 용산구 이촌동 376,37.521338691,126.959447221
V02Q1940473,서울특별시 성동구 금호로16길 2,37.556839663,127.019950184
V02Q1940636,서울특별시 성동구 무수막18길 26,37.552372662,127.022960186
V02Q1940526,서울특별시 성동구 독서당로46길 17,37.546924916,127.021529388
V02Q1940156,서울특별시 성동구 마장로46길 12-19,37.566674857,127.045521513
V02Q1940590,서울특별시 성동구 사근동12길 5,37.560723571,127.048425106
V02Q1940502,서울특별시 성동구 뚝섬로3길 8,37.54081481,127.049563967
V02Q1940545,서울특별시 성동구 서울숲2길 46,37.546306095,127.043661494
V02Q1940556,서울특별시 성동구 성수이로7길 11,37.540241557,127.054675329
V02Q1940594,서울특별시 성동구 광나루로2길 19,37.549231792,127.053877502
V02Q1940503,서울특별시 성동구 송정18가길 19,37.554020674,127.068888201
V02Q1940617,서울특별시 성동구 한림말3길 10,37.541972102,127.016370616
V02Q1940616,서울측별시 성동구 하왕십리동 976-12,37.560443166,127.030835302
V02Q1940563,서울특별시 성동구 왕십리로28길 1-1,37.564129832,127.031439736
V02Q1940603,서울측별시 성동구 용답동 6-13,37.563368336,127.055964397
V02Q1940639,서울특별시 성동구 독서당로62길 10,37.54966889,127.03182637
V02Q1940644,서울특별시 성동구 왕십리로 307,37.561197184,127.034602965
V02Q1940504,서울특별시 성동구 왕십리로21길 57,37.55905889,127.02896077
V02Q1940607,서울측별시 성동구 행당동 150-2,37.55887111,127.038552736
V02Q1940628,서울특별시 성동구 마장로35나길 13,37.568356828,127.040528854
V02Q1940615,서울측별시 성동구 금호동1가 130-2,37.557838543,127.024148057
V02Q1940642,서울특별시 성동구 자동차시장1길 64,37.560215516,127.064339113
V02Q1940670,서울특별시 성동구 성덕정9길 13,37.539279182,127.049873167
V02Q1940454,서울측별시 성동구 용답동 226-4,37.561013865,127.059082462
V02Q1940582,서울특별시 성동구 독서당로60길 12,37.548917364,127.030950576
V02Q1940828,서울특별시 성동구 마조로9길 16,37.561332045,127.039688831
V02Q1940261,서울특별시 성동구 상원10길 17,37.549808841,127.049770229
V02Q1940735,서울특별시 성동구 무학로14길 33,37.568406512,127.033660707
V02Q1940112,서울특별시 성동구 동일로55길 8,37.556514509,127.071193511
V02Q1940491,서울특별시 성동구 천호대로 278,37.56727451,127.05169485
V02Q1940623,서울특별시 성동구 마조로15길 20,37.563719858,127.039492971
V02Q1940587,서울특별시 성동구 아차산로13길 37,37.546671331,127.062139709
V02Q1940739,서울특별시 성동구 금호산길 16,37.54976209,127.019608782
V02Q1940870,서울특별시 성동구 둘레1길 12-30,37.538102738,127.046880664
V02Q1940588,서울측별시 성동구 사근동 110,37.55810867,127.050859556
V02Q1940601,서울특별시 성동구 사근동12길 12-1,37.560264565,127.048014605
V02Q1940441,서울측별시 성동구 행당동 134-9,37.558352332,127.037694516
V02Q1940738,서울특별시 성동구 무수막길 60-1,37.55144214,127.021554176
V02Q1940460,서울특별시 성동구 왕십리로11길 15,37.548894235,127.042497472
V02Q1940367,서울특별시 성동구 금호로 151,37.554394775,127.020099839
V02Q1940758,서울특별시 성동구 왕십리로21길 32-1,37.560119488,127.031606382
V02Q1940270,서울특별시 성동구 아차산로 20,37.547286983,127.046740172
V02Q1940842,서울특별시 성동구 고산자로2길 4,37.55214248,127.03558479
V02Q1940258,서울특별시 성동구 왕십리로31나길 23,37.562998002,127.028435382
V02Q1940871,서울특별시 성동구 청계천로12가길 63,37.57114665,127.037105979
V02Q1940868,서울특별시 성동구 용답길 111,37.560512835,127.052853492
V02Q1940627,서울특별시 성동구 송정12가길 50,37.551819341,127.067379627
V02Q1940753,서울특별시 성동구 독서당로51길 13,37.549364662,127.026655727
V02Q1940866,서울측별시 성동구 행당동 317-18,37.558038604,127.029649353
V02Q1940575,서울특별시 성동구 행당로6길 74,37.555822871,127.032318247
V02Q1940263,서울특별시 성동구 자동차시장1길 46-6,37.560874377,127.062747282
V02Q1940733,서울특별시 성동구 아차산로7나길 9,37.54818971,127.056597845
V02Q1940496,서울특별시 성동구 뚝섬로17길 12,37.538775645,127.059760733
V02Q1940744,서울특별시 성동구 연무장5길 18,37.544751429,127.053111792
V02Q1940511,서울특별시 성동구 독서당로57길 48,37.552655082,127.029032211
V02Q1940632,서울특별시 성동구 왕십리로24길 27-1,37.564964319,127.03447479
V02Q1940580,서울특별시 성동구 용답중앙11길 2,37.56518716,127.05111116
V02Q1940761,서울측별시 성동구 마장동 산 23-2,37.564052441,127.044424399
V02Q1940565,서울특별시 성동구 성수이로7길 34,37.541950115,127.053612431
V02Q1940501,서울특별시 성동구 고산자로2길 10-4,37.552003424,127.036324364
V02Q1940709,서울특별시 성동구 마장로39길 51,37.569445214,127.0446016
V02Q1940286,서울측별시 성동구 하왕십리동 1052-1,37.562166194,127.026682312
V02Q1940530,서울특별시 성동구 성수일로3길 7,37.542144186,127.047751758
V02Q1940743,서울특별시 성동구 성덕정길 118-14,37.536409649,127.056387019
V02Q1940748,서울특별시 성동구 둘레9길 13,37.537369863,127.050872231
V02Q1940786,서울특별시 성동구 뚝섬로3길 18,37.542101542,127.049671321
V02Q1940202,서울특별시 광진구 천호대로107길 54,37.560119378,127.079537928
V02Q1940280,서울특별시 광진구 용마산로21길 65,37.561975588,127.085032552
V02Q1940200,서울특별시 광진구 동일로76가길 28,37.56868612,127.08018012
V02Q1940209,서울특별시 광진구 긴고랑로 135-1,37.559024868,127.090120711
V02Q1940305,서울특별시 광진구 능동로24길 76,37.553149621,127.080543809
V02Q1940327,서울특별시 광진구 자양로28길 14,37.542256532,127.08511357
V02Q1940294,서울특별시 광진구 자양로40길 8,37.548160591,127.089682707
V02Q1940392,서울특별시 광진구 아차산로60길 13-13,37.538286643,127.09239683
V02Q1940371,서울특별시 광진구 천호대로143길 21,37.546677593,127.103453692
V02Q1940403,서울특별시 광진구 자양로13길 47,37.534309074,127.081985567
V02Q1940391,서울특별시 광진구 자양로3가길 36,37.528616803,127.085121222
V02Q1940393,서울특별시 광진구 뚝섬로38길 18,37.533488262,127.073006117
V02Q1940383,서울특별시 광진구 능동로3가길 16,37.533285662,127.065647463
V02Q1940204,서울특별시 광진구 능동로17길 28,37.546696348,127.072036473
V02Q1940134,서울특별시 광진구 면목로 18,37.555797885,127.075819699
V02Q1940411,서울특별시 광진구 구의강변로 35,37.533878243,127.091521
V02Q1940387,서울특별시 광진구 능동로 110,37.540054044,127.070979283
V02Q1940416,서울특별시 광진구 자양로33길 44,37.547805223,127.086413575
V02Q1940888,서울특별시 광진구 긴고랑로13길 10,37.563073533,127.081994745
V02Q1940860,서울특별시 광진구 자양로13길 73,37.533442403,127.080963254
V02Q1940506,서울특별시 광진구 강변역로4길 10,37.535029673,127.093240689
V02Q1940779,서울특별시 광진구 광나루로 571,37.54460929,127.0961067
V02Q1940815,서울측별시 광진구 자양동 427-8,37.52986155,127.0704949
