날짜,시간,지역,자치구,측정수,평균소음,표준편차,높은소음수,높은소음비율,최대소음,최소소음
2026-08-03,0,residential_area,Seocho-gu,17,45.11764705882353,6.8331575075137225,0,0.0,59.0,35.0
2026-08-03,0,residential_area,Seodaemun-gu,13,45.92307692307692,7.610332434481013,1,0.07692307692307693,67.0,36.0
2026-08-03,0,residential_area,Seongbuk-gu,21,44.76190476190476,6.179110445338531,0,0.0,57.0,35.0
2026-08-03,0,residential_area,Seongdong-gu,49,49.10204081632653,8.583907340065124,7,0.14285714285714285,70.0,35.0
2026-08-03,0,residential_area,Songpa-gu,27,45.074074074074076,5.220514561880793,0,0.0,56.0,37.0
2026-08-03,0,residential_area,Yangcheon-gu,53,46.24528301886792,5.326706159044811,1,0.018867924528301886,60.0,35.0
2026-08-03,0,residential_area,Yeongdeungpo-gu,17,48.35294117647059,6.452917046445305,1,0.058823529411764705,61.0,37.0
2026-08-03,0,residential_area,Yongsan-gu,18,45.27777777777778,4.793578523580093,0,0.0,54.0,35.0
2026-08-03,0,공원,Gangdong-gu,1,53.0,0.0,0,0.0,53.0,53.0
2026-08-03,0,공원,Seoul_Grand_Park,2,46.0,5.0,0,0.0,51.0,41.0
2026-08-03,0,도로·공원,Dobong-gu,6,56.833333333333336,12.91532251070624,3,0.5,77.0,35.0
2026-08-03,0,도로·공원,Dongdaemun-gu,2,58.0,4.0,1,0.5,62.0,54.0
2026-08-03,0,도로·공원,Dongjak-gu,2,47.0,1.0,0,0.0,48.0,46.0
2026-08-03,0,도로·공원,Eunpyeong-gu,2,47.5,11.5,0,0.0,59.0,36.0
2026-08-03,0,도로·공원,Gangbuk-gu,4,46.25,3.960744879438715,0,0.0,53.0,43.0
2026-08-03,0,도로·공원,Gangdong-gu,6,61.0,6.8068592855540455,4,0.6666666666666666,67.0,47.0
2026-08-03,0,도로·공원,Gangnam-gu,7,60.285714285714285,7.647862179613823,5,0.7142857142857143,68.0,43.0
2026-08-03,0,도로·공원,Gangseo-gu,2,55.5,9.5,1,0.5,65.0,46.0
2026-08-03,0,도로·공원,Geumcheon-gu,3,47.666666666666664,8.9938250421547,0,0.0,55.0,35.0
